33,Types,Project Name,Unit,longitude,latitude,Established Year,Status,Capacity (MW),Domestic owner name,Foreign owner name,Mother Company of owner,Project Cost,Total investment amount,Total amount from domestic sources,Total amount from foreign sources,Money not identifiable,"Domestic owner's contribution, Share (%)","Domestic owner's contribution, Amount","Foreign owner's contribution, Share (%)","Foreign owner's contribution, Amount",Total amount of domestic finance,Total Identified amount of foreign finance,CO2 Carbon Emission,Lifetime of plant (yr),Real Cost of Coal,Project Impact,References,Remarks,
,coal,Taean power station,Taean power station Unit 3,126.234263,36.903319,1997,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 4,126.234263,36.903319,1997,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 5,126.234263,36.903319,2001,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 6,126.234263,36.903319,2002,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 7,126.234263,36.903319,2007,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 8,126.234263,36.903319,2007,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 9,126.2346268,36.9055681,2016,Operating,1050,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1f719A8,,
Daejeon Cogen power station,coal,Daejeon Cogen power station,Daejeon Cogen 1,127.385,36.351,1997,Operating,88,Daejon Cogen Plant Co Ltd,,Chosun Refractories,,0,,,,,,,,,,,,,,http://bit.ly/20WyGkD,,
Anin power station,coal,Anin power station,Anin power station Unit 1,128.9791,37.73535,2019,Pre,1040,Gangnung Eco Power,,"KEPCO, Samsung",,0,,,,,,,,,,,,,,http://bit.ly/1JHT01N,,
,coal,Anin power station,Anin power station Unit 2,128.9791,37.73535,2020,Pre,1040,Gangnung Eco Power,,"KEPCO, Samsung",,0,,,,,,,,,,,,,,http://bit.ly/1JHT01N,,
Bukpyung power station,coal,Bukpyung power station,Buk-Pyeong power station Unit 1,129.143343,37.4805456,2016,Operating,595,"GS E&R, Korea East-West Power Co",,"GS E&R, KEPCO",,0,,,,,,,,,,,,,,http://bit.ly/1lgPWKP,,
,coal,Bukpyung power station,Buk-Pyeong power station Unit 2,129.143343,37.4805456,2017,Construction,595,"GS E&R, Korea East-West Power Co",,"GS E&R, KEPCO",,0,,,,,,,,,,,,,,http://bit.ly/1lgPWKP,,
Dongbu Hasla power station,coal,Dongbu Hasla power station,Dongbu Hasla power station Unit 1,128.98,37.739,,Cancelled,1000,Dongbu Power Dangjin Corp,,"Dongbu Group, SK Group",,0,,,,,,,,,,,,,,http://bit.ly/1JHou98,,
,coal,Dongbu Hasla power station,Dongbu Hasla power station Unit 2,128.98,37.739,,Cancelled,1000,Dongbu Power Dangjin Corp,,"Dongbu Group, SK Group",,0,,,,,,,,,,,,,,http://bit.ly/1JHou98,,
Donghae power station,coal,Donghae power station,Donghae power station Unit 1,129.147287,37.486296,1998,Operating,200,Korea East-West Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1JXK8Gs,,
,coal,Donghae power station,Donghae power station Unit 2,129.147287,37.486296,1999,Operating,200,Korea East-West Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1JXK8Gs,,
Pospower Samcheok power station,coal,Pospower Samcheok power station,Pospower Samcheok power station Unit 1,129.165,37.45,2021,Pre,1050,Pospower,,POSCO,,0,,,,,,,,,,,,,,http://bit.ly/1WSYc9t,,
,coal,Pospower Samcheok power station,Pospower Samcheok power station Unit 2,129.165,37.45,2021,Pre,1050,Pospower,,POSCO,,0,,,,,,,,,,,,,,http://bit.ly/1WSYc9t,,
Samcheok Anthracite power station,coal,Samcheok Anthracite power station,Samcheok Anthracite power station,129.165,37.45,,Cancelled,100,Korea Southern Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1hohJf1,,
Samcheok Green power station,coal,Samcheok Green power station,Samcheok Green power station Unit 1,129.341822,37.186,2016,Operating,1022,Korea Southern Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1EjoWd4,,
,coal,Samcheok Green power station,Samcheok Green power station Unit 2,129.341822,37.186,2017,Construction,1022,Korea Southern Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1EjoWd4,,
Yongdong power station,coal,Yongdong power station,Yongdong power station Unit 1,128.980391,37.738959,1973,Operating,125,Korea Southeast Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1NvstoA,,
,coal,Yongdong power station,Yongdong power station Unit 2,128.980391,37.738959,1979,Operating,200,Korea Southeast Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1NvstoA,,
Banwol Chp power station,coal,Banwol Chp power station,Banwol Chp 1,,,1990,Operating,56,Stx Energy Co Ltd,,Stx Energy Co Ltd,,0,,,,,,,,,,,,,,http://bit.ly/1Wf9enk,,
Gumi Chp power station,coal,Gumi Chp power station,Gumi Chp 1,128.372004,36.09714048,1992,Operating,85,Stx Energy Co Ltd,,Stx Energy Co Ltd,,0,,,,,,,,,,,,,,http://bit.ly/1Q9GKNh,,
Goseong Green power station,coal,Goseong Green power station,Goseong Green power station Unit 1,128.112096,34.918658,2020,Permitted,1040,Goseong Green Power,,"KEPCO, SK Gas, SK Construction, KDB Infrastructure",,5200,,,5200,100,,,,,,,,,,http://bit.ly/1JwHliB,http://biz.chosun.com/site/data/html_dir/2017/02/03/2017020301098.html,
,coal,Goseong Green power station,Goseong Green power station Unit 2,128.112096,34.918658,2021,Permitted,1040,Goseong Green Power,,"KEPCO, SK Gas, SK Construction, KDB Infrastructure",,5200,,,5200,100,,,,,,,,,,http://bit.ly/1JwHliB,http://www.gscinews.com/news/articleView.html?idxno=1094,
Hadong power station,coal,Hadong power station,Hadong power station Unit 1,127.819851,34.952354,1997,Operating,500,Korea Southern Power,,KEPCO,,1685,,,1685,,,,,,,,,,,http://bit.ly/1EtduWZ,https://www.google.co.kr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=13&ved=0ahUKEwiet5uT09LTAhXBGZQKHRZrAY44ChAWCCswAg&url=http%3A%2F%2Fwww.motie.go.kr%2Fcommon%2Fdownload.do%3Ffid%3Dbbs%26bbs_cd_n%3D16%26bbs_seq_n%3D3701%26file_seq_n%3D1&usg=AFQjCNEktCUzJG4A0938BV_wZ-CHeJ9nAw&sig2=gr3irU4zc1erMdVlRqYjGg&cad=rjt,
,coal,Hadong power station,Hadong power station Unit 2,127.819851,34.952354,1997,Operating,500,Korea Southern Power,,KEPCO,,1685,,,1685,,,,,,,,,,,http://bit.ly/1EtduWZ,,
,coal,Hadong power station,Hadong power station Unit 3,127.819851,34.952354,1998,Operating,500,Korea Southern Power,,KEPCO,,928.8,,,928.8,,,,,,,,,,,http://bit.ly/1EtduWZ,,
,coal,Hadong power station,Hadong power station Unit 4,127.819851,34.952354,1999,Operating,500,Korea Southern Power,,KEPCO,,928.8,,,928.8,,,,,,,,,,,http://bit.ly/1EtduWZ,,
,coal,Hadong power station,Hadong power station Unit 5,127.819851,34.952354,2000,Operating,500,Korea Southern Power,,KEPCO,,1787,,,1787,,,,,,,,,,,http://bit.ly/1EtduWZ,,
,coal,Hadong power station,Hadong power station Unit 6,127.819851,34.952354,2001,Operating,500,Korea Southern Power,,KEPCO,,1787,,,1787,,,,,,,,,,,http://bit.ly/1EtduWZ,,
,coal,Hadong power station,Hadong power station Unit 7,127.819851,34.952354,2008,Operating,500,Korea Southern Power,,KEPCO,,1117.7,,,1117.7,,,,,,,,,,,http://bit.ly/1EtduWZ,http://todayenergy.kr/news/articleView.html?idxno=47653,
,coal,Hadong power station,Hadong power station Unit 8,127.819851,34.952354,2009,Operating,500,Korea Southern Power,,KEPCO,,1117.7,,,1117.7,,,,,,,,,,,http://bit.ly/1EtduWZ,,
Samchonpo power station,coal,Samchonpo power station,Samchonpo power station Unit 1,128.108397,34.910715,1983,Operating,560,Korea Southeast Power Co,,KEPCO,,1600,,0,1600,100,,,,,,,,,,http://bit.ly/1hbvUHb,,
,coal,Samchonpo power station,Samchonpo power station Unit 2,128.108397,34.910715,1984,Operating,560,Korea Southeast Power Co,,KEPCO,,1600,,0,1600,100,,,,,,,,,,http://bit.ly/1hbvUHb,,
,coal,Samchonpo power station,Samchonpo power station Unit 3,128.108397,34.910715,1993,Operating,560,Korea Southeast Power Co,.,KEPCO,,1600,,0,1600,100,,,,,,,,,,http://bit.ly/1hbvUHb,,
,coal,Samchonpo power station,Samchonpo power station Unit 4,128.108397,34.910715,1994,Operating,560,Korea Southeast Power Co,.,KEPCO,,1600,,0,1600,100,,,,,,,,,,http://bit.ly/1hbvUHb,,
,coal,Samchonpo power station,Samchonpo power station Unit 5,128.108397,34.910715,1997,Operating,500,Korea Southeast Power Co,.,KEPCO,,1600,,0,1600,100,,,,,,,,,,http://bit.ly/1hbvUHb,,
,coal,Samchonpo power station,Samchonpo power station Unit 6,128.108397,34.910715,1998,Operating,500,Korea Southeast Power Co,.,KEPCO,,1600,,0,1600,100,,,,,,,,,,http://bit.ly/1hbvUHb,,
Yeongheung power station,coal,Yeongheung power station,Yeongheung power station Unit 1,126.437797,37.236543,2004,Operating,800,Korea Southeast Power Co,.,KEPCO,,6000,,0,6000,100,,,,,,,,,,http://bit.ly/1Lb8ISY,,
,coal,Yeongheung power station,Yeongheung power station Unit 2,126.437797,37.236543,2004,Operating,800,Korea Southeast Power Co,.,KEPCO,,6000,,0,6000,100,,,,,,,,,,http://bit.ly/1Lb8ISY,,
,coal,Yeongheung power station,Yeongheung power station Unit 3,126.437797,37.236543,2009,Operating,870,Korea Southeast Power Co,.,KEPCO,,6000,,0,6000,100,,,,,,,,,,http://bit.ly/1Lb8ISY,,
,coal,Yeongheung power station,Yeongheung power station Unit 4,126.437797,37.236543,2009,Operating,870,Korea Southeast Power Co,.,KEPCO,,6000,,0,6000,100,,,,,,,,,,http://bit.ly/1Lb8ISY,,
,coal,Yeongheung power station,Yeongheung power station Unit 5,126.4360929,37.23693992,2014,Operating,870,Korea Southeast Power Co,.,KEPCO,,6000,,0,6000,100,,,,,,,,,,http://bit.ly/KuGM2g,,
,coal,Yeongheung power station,Yeongheung power station Unit 6,126.4360929,37.23693992,2014,Operating,870,Korea Southeast Power Co,.,KEPCO,,6000,,0,6000,100,,,,,,,,,,http://bit.ly/KuGM2g,,
,coal,Yeongheung power station,Yeongheung power station Unit 7,126.4360929,37.23693992,,Cancelled,870,Korea Southeast Power Co,.,KEPCO,,0,,0,,,,,,,,,,,,http://bit.ly/KuGM2g,,
,coal,Yeongheung power station,Yeongheung power station Unit 8,126.4360929,37.23693992,,Cancelled,870,Korea Southeast Power Co,.,KEPCO,,0,,0,,,,,,,,,,,,http://bit.ly/KuGM2g,,
Jeju Thermal Power Station,coal,Jeju Thermal Power Station,Jeju Thermal Tower Station Unit 2,126.5973875,33.5366283,2000,Operating,75,Korea Midland Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/2jjXNS1,,
,coal,Jeju Thermal Power Station,Jeju Thermal Tower Station Unit 3,126.5973875,33.5366283,2000,Operating,75,Korea Midland Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/2jjXNS1,,
Honam power station,coal,Honam power station,Honam power station Unit 1,127.734675,34.854427,1973,Operating,250,Korea East-West Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1JiaJiI,,
,coal,Honam power station,Honam power station Unit 2,127.734675,34.854427,1973,Operating,250,Korea East-West Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1JiaJiI,,
Seagull Cogen Gunsan power station,coal,Seagull Cogen Gunsan power station,Seagull Cogen Gunsan power station Unit 1,126.638267,35.977864,2007,Operating,50,Gungjang Energy Co Ltd,,eTEC E&C,,0,,,,,,,,,,,,,,http://bit.ly/1HMec1N,,
,coal,Seagull Cogen Gunsan power station,Seagull Cogen Gunsan power station Unit 2,126.638267,35.977864,2007,Operating,50,Gungjang Energy Co Ltd,,eTEC E&C,,0,,,,,,,,,,,,,,http://bit.ly/1HMec1N,,
,coal,Seagull Cogen Gunsan power station,Seagull Cogen Gunsan power station Unit 3,126.638267,35.977864,2014,Operating,30,Gungjang Energy Co Ltd,,eTEC E&C,,0,,,,,,,,,,,,,,http://bit.ly/1HMec1N,,
Yeosu Hanwha power station,coal,Yeosu Hanwha power station,Yeosu Hanwha power station Unit 1,127.674,34.826,2010,Operating,125,Hanwha Chemical Corp,,Hanwha Group,,0,,,,,,,,,,,,,,http://bit.ly/1P510iM,,
,coal,Yeosu Hanwha power station,Yeosu Hanwha power station Unit 2,127.674,34.826,2010,Operating,125,Hanwha Chemical Corp,,Hanwha Group,,0,,,,,,,,,,,,,,http://bit.ly/1P510iM,,
Yeosu power station,coal,Yeosu power station,Yeosu power station unit 1 rebuild,127.6907873,34.83932639,2016,Operating,350,Korea Southeast Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/19WDGgK,,
,coal,Yeosu power station,Yeosu power station Unit 2,127.6907873,34.83932639,1977,Operating,329,Korea Southeast Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1MsRuDU,,
Pohang power station,coal,Pohang power station,Pohang power station,129.365,36.032222,,Announced,500,POSCO,,POSCO,,0,,,,,,,,,,,,,,http://bit.ly/2ekx7Mo,,
Saemangeum Collective Energy Facility Unit 1,coal,Saemangeum Collective Energy Facility Unit 1,Saemangeum Collective Energy Facility Unit 1,126.716667,35.983333,2016,Operating,152,Saemangeum Development Agency,,Saemangeum Development Agency,,0,,,,,,,,,,,,,,http://bit.ly/1Aq3Ggc,,
Saemangeum Collective Energy Facility Unit 2,coal,Saemangeum Collective Energy Facility Unit 2,Saemangeum Collective Energy Facility Unit 2,126.716667,35.983333,2016,Operating,152,Saemangeum Development Agency,,Saemangeum Development Agency,,0,,,,,,,,,,,,,,http://bit.ly/1Aq3Ggc,,
Seagull power station,coal,Seagull power station,Seagull power station,126.716667,35.983333,2016,Construction,250,Gungjang Energy Co Ltd,,Gunjang Energy,,0,,,,,,,,,,,,,,http://bit.ly/19Gd1rR,,
Dangjin Eco power station,coal,Dangjin Eco power station,Dangjin Eco power station Unit 1,126.4923,37.055,2021,Shelved,580,Dangjin Eco Power,,"Dongbu Group, SK Group",,0,,,,,,,,,,,,,,http://bit.ly/1MOM5Fz,,
,coal,Dangjin Eco power station,Dangjin Eco power station Unit 2,126.4923,37.055,2022,Shelved,580,Dangjin Eco Power,,"Dongbu Group, SK Group",,0,,,,,,,,,,,,,,http://bit.ly/1MOM5Fz,,
,coal,Dangjin power station,Dangjin power station Unit 10,126.5122247,37.05513,2016,Operating,1020,Korea East-West Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1DRx4RU,,
,coal,Dangjin power station,Dangjin power station Unit 9,126.5122247,37.05513,2016,Operating,1020,Korea East-West Power Co,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1DRx4RU,,
,coal,Seocheon power station,Seocheon power station,126.49611,36.13576052,2019,Construction,1000,Korea Midland Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1B2jqtV,,
KOWEPO Hadong power station,coal,KOWEPO Hadong power station,KOWEPO Hadong power station Unit 1,127.75,35.066667,2022,Announced,1000,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1MlVJ02,,
,coal,KOWEPO Hadong power station,KOWEPO Hadong power station Unit 2,127.75,35.066667,2022,Announced,1000,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1MlVJ02,,
Yosu Plant-1 power station,coal,Yosu Plant-1 power station,Yosu Plant-1 No 1,127,34.75,1977,Operating,30,Lotte Chemical Corp,n/a,Lotte Group,,262,262,,,,,,,,,,,,,http://bit.ly/1Rrn5Yu,,
,coal,Yosu Plant-1 power station,Yosu Plant-1 No 2,127,34.75,1977,Operating,30,Lotte Chemical Corp,n/a,Lotte Group,,349,100,,249,,,,,,,,,,,http://bit.ly/1Rrn5Yu,http://kccsa.or.kr/?mid=Press&page=5&listStyle=webzine&sort_index=readed_count&order_type=desc&document_srl=2404,
Ulsan CHP power station,coal,Ulsan CHP power station,Ulsan CHP power station Unit 1,129.351,35.562,1991,Operating,40,Ulsan Petrochemical Service Co,n/a,Ulsan Petrochemical Service,,11,1,,10,,,,,,,,,,,http://bit.ly/1DRfOMV,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0040480,
,coal,Ulsan CHP power station,Ulsan CHP power station Unit 2,129.351,35.562,1994,Operating,40,Ulsan Petrochemical Service Co,n/a,Ulsan Petrochemical Service,,9,,,9,,,,,,,,,,,http://bit.ly/1DRfOMV,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0040480,
,coal,Ulsan CHP power station,Ulsan CHP power station Unit 3,129.351,35.562,1998,Operating,50,Ulsan Petrochemical Service Co,n/a,Ulsan Petrochemical Service,,0,,,,,,,,,,,,,,http://bit.ly/1DRfOMV,,
Ulsan Hanju power station,coal,Ulsan Hanju power station,Ulsan Hanju power station Unit 3,129.351,35.562,1994,Operating,40,Hanju Corp,n/a,Hanju Corp,,0,,,,,,,,,,,,,,http://bit.ly/1NgO8mo,,
,coal,Ulsan Hanju power station,Ulsan Hanju power station Unit 5,129.351,35.562,1998,Operating,50,Hanju Corp,n/a,Hanju Corp,,1050,167,,883,,,,,,,,,,,http://bit.ly/1NgO8mo,http://www.yonhapnews.co.kr/bulletin/2015/03/26/0200000000AKR20150326047400057.HTML,
Ulsan Kzc power station,coal,Ulsan Kzc power station,Ulsan Kzc 1,,,1993,Operating,43,Korea Zinc Co Ltd,n/a,Korea Zinc Co Ltd,,0,,,,,,,,,,,,,,http://bit.ly/1Q8mxRG,,
Yongnam power station,coal,Yongnam power station,Yongnam power station Unit 1,129.384417,35.513959,1973,Operating,200,Korea Southern Power,n/a,KEPCO,,10.2,,,10.2,,,,,,,,,,,http://bit.ly/1PdIIqQ,http://www.newsis.com/ar_detail/view.html/?ar_id=NISX20141008_0013217419&cID=10814&pID=10800,
,coal,Yongnam power station,Yongnam power station Unit 2,129.384417,35.513959,1970,Operating,200,Korea Southern Power,n/a,KEPCO,,410,370,,40,,,,,,,,,,,http://bit.ly/1PdIIqQ,,
